Code,Days to Trade,FlowUS$m,Name,Shares to Trade,Status,days,effective_date,profit,relative_profit
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-51,2020/8/31,36.18481244,-62.32974294
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-52,2020/8/31,37.74016468,-63.87607793
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-53,2020/8/31,39.11253431,-63.24182968
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-54,2020/8/31,39.56999085,-63.96878517
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-55,2020/8/31,40.6221409,-62.90940508
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-56,2020/8/31,37.51143641,-64.78245815
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-57,2020/8/31,32.66239707,-69.99365677
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-58,2020/8/31,34.81244282,-66.31149979
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,-59,2020/8/31,36.36779506,-62.7291072
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,0,2020/8/31,100,0
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,1,2020/8/31,97.89569991,-3.163172337
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,2,2020/8/31,92.86367795,-6.739984393
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,3,2020/8/31,43.915828,-55.71806906
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,4,2020/8/31,41.17108875,-58.49698668
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,5,2020/8/31,38.47209515,-61.38921953
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,6,2020/8/31,34.21774931,-64.15812076
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,7,2020/8/31,27.90484904,-70.03721862
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,8,2020/8/31,34.30924062,-64.60099514
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,9,2020/8/31,41.17108875,-58.16703394
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,10,2020/8/31,38.28911253,-62.3583047
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,11,2020/8/31,35.31564501,-64.13487193
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,12,2020/8/31,34.76669716,-64.2605338
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,13,2020/8/31,33.34858188,-65.20541008
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,14,2020/8/31,35.22415371,-63.74720876
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,15,2020/8/31,35.81884721,-62.54124823
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,16,2020/8/31,38.47209515,-60.17194368
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,17,2020/8/31,39.29551693,-59.89669041
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,18,2020/8/31,39.98170174,-59.37613924
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,19,2020/8/31,38.83806038,-60.00973412
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,20,2020/8/31,38.51784081,-60.39042313
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,21,2020/8/31,43.64135407,-56.94493646
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,22,2020/8/31,45.56267155,-54.24014554
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,23,2020/8/31,46.56907594,-53.67871726
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,24,2020/8/31,48.67337603,-51.44624827
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,25,2020/8/31,48.21591949,-51.29243778
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,26,2020/8/31,48.03293687,-50.81091398
7106.KL,0.87,667,Supermax Corporation Bhd,35349305,Add,27,2020/8/31,48.94784995,-50.83393429
